"AAC_CODIGO_CHR","AAC_NOME_CHR","AAC_NOMECOMPLETO_CHR","AAC_EMENTA_CHR","MATRICULAS","PERSI","PERCC"
"DCC024","LINGUAGENS DE PROGRAMACAO","LINGUAGENS DE PROGRAMACAO","Linguagens de programacao procedimentais e aplicativas.Estudo detalhado de algumas linguagens importantes.Criterios e tecnicas na especificacao e projeto de linguagens.",775,4,5
"DCC111","MATEMATICA DISCRETA","MATEMATICA DISCRETA","Analise combinatórias. Teoria dos grafos.",1411,2,1
"DCC046","MONOGRAFIA EM SISTEMAS DE INFORMACAO","MONOGRAFIA EM SISTEMAS DE INFORMACAO","",158,8,
"UNI003","OF. DE LP:LEITURA E PRODUCAO DE TEXTOS","OFICINA DE LINGUA PORTUGUESA: LEITURA E PRODUCAO DE TEXTOS","DESENVOLVER VARIAS HABILIDADES DE ESCRITA E DE LEITURA DE GENEROS TEXTUAIS IMPORTANTES NO AMBITO ACADEMICO COMO ESQUEMA, RESUMO, RESENHA, PROJETO E RELATORIO DE PESQUISA, BEM COMO DISCUTIR E REFLETIR VARIOS ASPECTOS DA LINGUA PORTUGUESA, RELEVANTES PARA A LIDE COM ESSES TEXTOS. SERAO PRODUZIDOS TEXTOS DE VARIOS GENEROS ACADEMICOS NA MODALIDADE ESCRITA, VISNADO O APRIMORAMENTO DA TEXTUALIDADE E DE ASPECTOS DA NORMA CULTA QUE SE FIZEREM NECESSARIOS",90,,
"DCC006","ORGANIZACAO DE COMPUTADORES I","ORGANIZACAO DE COMPUTADORES I","Introducao a microeletronica. Circuitos combinatorios e  sequenci-ais. Memorias. Entrada e saida. Introducao aos microprocessadores. Perifericos.",846,3,3
"DCC007","ORGANIZACAO DE COMPUTADORES II","ORGANIZACAO DE COMPUTADORES II","Microprocessadores avancados. Barramentos. Sistemas de memoria   eentrada-e-saida. Arquiteturas avancadas.",425,,4
"OTI071","ORGANIZACAO E TRATAMENTO DA INFORMACAO","ORGANIZACAO E TRATAMENTO DA INFORMACAO","INTRODUCAO A ORGANIZACAO E TRATAMENTODA INFORMACAO. INTRODUCAO AOS SISTEMAS DE RECUPERCADA DA INFORMACAO. TRATAMENTO DESCITIVO DA INFORMACAO. TRATAMENTO TEMATICO DA INFORMACAO. FONTES DE INFORMACAO GERAIS E ESPECIALIZADAS. SERVICOS E PRODUTOS DE DISSEMINACAO DA INFORMACAO. PROCESSO HISTORICO DA PRODUCAO DOS REGISTROS DOS CONHECIMENTOS. FUNDAMENTOS DA ARQUIVISTICA.",237,4,
"DCC035","PESQUISA OPERACIONAL","PESQUISA OPERACIONAL","Modelagem. Fundamentos de programação matemática. Programação linear e suas aplicações. Método simplex. Análise de sensibilidade e dualidade. Otimização em redes. Programação dinâmica. ",504,,5
"EST032","PROBABILIDADE","PROBABILIDADE","",712,,3
"DCC052","PROGRAMACAO MODULAR","PROGRAMACAO MODULAR","FILOSOFIA E PRINCIPIOS. QUALIDADE DE SOFTWARE. MODULARIDADE. REUTILIACAO DE SOFTWARE. PROGRAMACAO POR CONTRATO. OBJETOS. CLASSES. METODOS. ENCAPSULACAO. HERANCA. POLIFORMISMO. POLISSEMIA DE FORMA E DE ESTADO. POLIVALENCIA. REDEFINICAO. ASSOCIACAO DINAMICA. TRATA- MENTO DE EXCECAO. GENERECIDADE. PARAMETRIZACAO DE CLASSES. DECLARACAO POR ASSOCIACAO. CO-VARIANCIA E CONTRA-VARIANCIA. LINGUAGENS O-RIENTADAS POR OBJETOS.",434,7,5
"DCC604","PROJETO ORIENTADO EM COMPUTACAO I","PROJETO ORIENTADO EM COMPUTACAO I","Definicao do problema. Estudo de viabilidade. Proposta de solucao.Especificacao da solucao. Sob orientacao de um professor.",425,,7
"DCC009","PROJETO ORIENTADO EM COMPUTACAO II","PROJETO ORIENTADO EM COMPUTACAO II","Projeto. Implementacao. Testes de depuracao. Implantacao. Sob ori-entacao de um professor.",363,,8
"DCC023","REDES DE COMPUTADORES","REDES DE COMPUTADORES","Conceitos de sistemas distribuidos, redes de computadores, protocolos e servicos de comunicacao.Arquitetura de redes de computadoresCamadas inferiores do modelo de referencia da ISO: fisica, enlace e redes.Redes locais. Interligacao de redes; especificacao de pro-tocolos.",620,5,6
"DCC605","SISTEMAS OPERACIONAIS","SISTEMAS OPERACIONAIS","Conceitos de sistemas operacionais. Conceitos de processos parale-los. Gerencia de processador. Gerencia de perifericos. Gerancia deinformacao.",609,4,5
"DCC008","SOFTWARE BASICO","SOFTWARE BASICO","Nocoes basicas de arquitetura de computadores. Linguagem de maqui-na ""assembly"". Tecnicas de programacao em linguagem  de   maquina.Montadores processadores. Carregadores e Ligadores.",582,,4
"DCC185","TEORIA E PRATICA DE SIST DE INFORMACAO","TEORIA E PRATICA DE SISTEMAS DE INFORMACAO","CONCEITOS E TEORIAS DE SISTEMAS. SISTEMAS DE INFORMACAO E SISTEMAS DE ORGANIZACAO SUPORTE A DECISAO. QUALIDADE NIVEIS DE SISTEMA: ESTRATEGICO, TATICO E OPERACIONAL.COMPONENTES DE SISTEMAS E SUAS RELACOES. ESTRATEGIAS PARA SISTEMAS DE INFORMACAO. PAPEIS DA INFORMACAO. PAPEIS DA PESSOA USANDO, DESENVOLVENDO E GERENCIANDO SISTEMAS DE INFORMACAO. PLANEJAMNETO DE SISTEMAS E GERENCIAMENTO DE MUDANCAS.",37,7,
"TGI004","USUARIOS DA INFORMACAO","USUARIOS DA INFORMACAO","ESTUDO DE USUARIOS: CONCEITOS, EVOLUCAO E TENDENCIAS. USUARIOS   ESISTEMAS DE INFORMACAO. AMBIENTES DE USO DA INFORMACAO. MODELOS DECOMPORTAMENTO INFORMACIONAL. TIPOS DE USUARIOS E NAO USUARIOS:  CARACTERISTICAS E NECESSIDADES. METODOLOGIAS DE ESTUDO DE USOS E USUARIO.",305,3,
