GEOGRAFIA/NOTURNO,"0,0090","0,0000","0,0000","0,0310","0,0078","0,1670","0,0010","0,0006","0,7438","0,0002","0,0235","0,0012","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0004","0,0000","0,0145"
GEOLOGIA,"0,0000","0,0000","0,0000","0,0004","0,0004","0,0000","0,0000","0,0000","0,7322","0,0000","0,2572","0,0004","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0087","0,0000","0,0008"
TURISMO,"0,0966","0,0030","0,0011","0,1596","0,0783","0,0026","0,0033","0,0030","0,5576","0,0209","0,0008","0,0000","0,0000","0,0000","0,0189","0,0009","0,0000","0,0000","0,0060","0,0000","0,0473"
ARQUITETURA E URBANISMO/DIURNO,"0,0110","0,0000","0,0022","0,0234","0,0011","0,0000","0,0010","0,0000","0,0353","0,7618","0,0053","0,1557","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0031"
CIENCIA DA COMPUTACAO,"0,0628","0,0001","0,0010","0,0063","0,0256","0,0000","0,0010","0,0052","0,0007","0,0007","0,8449","0,0046","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0013","0,0002","0,0455"
SISTEMAS DE INFORMACAO,"0,1907","0,0010","0,0561","0,0109","0,0160","0,0032","0,0006","0,0014","0,0000","0,0014","0,6681","0,0010","0,0000","0,0000","0,0000","0,0003","0,0000","0,0000","0,0006","0,0000","0,0486"
CIENCIAS ATUARIAIS,"0,2929","0,0005","0,0000","0,0021","0,0398","0,0000","0,0000","0,0000","0,0000","0,0000","0,6560","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0086"
ESTATISTICA,"0,0371","0,0000","0,0000","0,0060","0,0674","0,0015","0,0000","0,0017","0,0000","0,0000","0,8519","0,0009","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0007","0,0000","0,0328"
FISICA/DIURNO,"0,0045","0,0000","0,0000","0,0024","0,0049","0,0688","0,0000","0,0000","0,0000","0,0000","0,8970","0,0032","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0071","0,0000","0,0121"
FISICA/NOTURNO,"0,0000","0,0000","0,0000","0,0000","0,0014","0,2313","0,0000","0,0000","0,0000","0,0000","0,7525","0,0027","0,0000","0,0000","0,0000","0,0000","0,0014","0,0000","0,0000","0,0000","0,0109"
MATEMATICA/DIURNO,"0,0011","0,0000","0,0000","0,0000","0,0000","0,0804","0,0000","0,0000","0,0021","0,0000","0,9117","0,0021","0,0000","0,0000","0,0016","0,0000","0,0000","0,0000","0,0000","0,0000","0,0011"
MATEMATICA/NOTURNO,"0,0017","0,0004","0,0000","0,0000","0,0000","0,1611","0,0000","0,0000","0,0000","0,0000","0,8350","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0017"
MATEMATICA COMPUTACIONAL,"0,0107","0,0020","0,0000","0,0027","0,0187","0,0000","0,0000","0,0000","0,0000","0,0000","0,9352","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0013","0,0000","0,0294"
QUIMICA/DIURNO,"0,0052","0,0010","0,0000","0,0016","0,0020","0,0267","0,0010","0,0002","0,0176","0,0000","0,9096","0,0205","0,0007","0,0000","0,0004","0,0000","0,0000","0,0000","0,0029","0,0000","0,0107"
QUIMICA/NOTURNO,"0,0022","0,0006","0,0000","0,0000","0,0012","0,1377","0,0000","0,0003","0,0111","0,0000","0,8331","0,0039","0,0009","0,0000","0,0000","0,0000","0,0000","0,0000","0,0015","0,0000","0,0076"
ENGENHARIA CIVIL,"0,0151","0,0069","0,0000","0,0312","0,0006","0,0000","0,0000","0,0000","0,0408","0,0154","0,2583","0,6282","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0035"
ENG. CONTROLE AUTOMACAO/DIURNO,"0,0023","0,0068","0,0071","0,0013","0,0019","0,0002","0,0000","0,0035","0,0000","0,0000","0,3159","0,6550","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0053","0,0000","0,0006"
ENGENHARIA DE MINAS,"0,0059","0,0065","0,0000","0,0069","0,0007","0,0000","0,0000","0,0000","0,1342","0,0000","0,3576","0,4856","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0026"
ENGENHARIA DE PRODUCAO,"0,0555","0,0004","0,0000","0,0076","0,0030","0,0000","0,0000","0,0004","0,0000","0,0005","0,2946","0,6056","0,0000","0,0000","0,0002","0,0000","0,0000","0,0000","0,0002","0,0000","0,0321"
ENGENHARIA ELETRICA,"0,0098","0,0001","0,0000","0,0566","0,0299","0,0000","0,0002","0,0007","0,0006","0,0014","0,2774","0,6186","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0012","0,0000","0,0035"
ENGENHARIA MECANICA-DIURNO,"0,0275","0,0010","0,0000","0,0324","0,0090","0,0052","0,0017","0,0043","0,0000","0,0032","0,1957","0,6703","0,0002","0,0000","0,0027","0,0000","0,0000","0,0000","0,0061","0,0000","0,0405"
ENGENHARIA MECANICA-NOTURNO,"0,0248","0,0008","0,0000","0,0320","0,0069","0,0121","0,0017","0,0019","0,0008","0,0031","0,2019","0,6653","0,0001","0,0000","0,0008","0,0001","0,0004","0,0000","0,0048","0,0000","0,0424"
ENGENHARIA METALURGICA,"0,0057","0,0071","0,0036","0,0071","0,0076","0,0000","0,0000","0,0000","0,0207","0,0000","0,3961","0,5480","0,0000","0,0000","0,0001","0,0000","0,0000","0,0000","0,0000","0,0000","0,0041"
